City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,41.11,70,20,34.52,few clouds
1,Praia,CV,14.9215,-23.5087,79.97,82,85,3.53,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,40.66,81,75,16.11,moderate rain
3,Jamestown,US,42.097,-79.2353,72.72,73,100,5.75,overcast clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,70.56,94,83,7.0,broken clouds
5,Nizhnevartovsk,RU,60.9344,76.5531,57.22,94,0,8.99,clear sky
6,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22,few clouds
7,Saint George,US,37.1041,-113.5841,88.39,60,40,17.27,scattered clouds
8,Albany,US,42.6001,-73.9662,76.59,65,100,1.61,overcast clouds
9,Kidal,ML,18.4411,1.4078,93.4,30,6,17.47,clear sky
10,Mosetse,BW,-20.75,26.65,57.67,42,0,9.33,clear sky
11,Louis Trichardt,ZA,-23.0439,29.9032,55.96,50,0,3.31,clear sky
12,Hermanus,ZA,-34.4187,19.2345,52.34,83,0,11.48,clear sky
13,Kruisfontein,ZA,-34.0033,24.7314,51.53,89,23,3.96,few clouds
14,Barrow,US,71.2906,-156.7887,33.82,100,100,17.27,light rain
15,Kalaleh,IR,37.3807,55.4916,76.6,88,100,9.22,overcast clouds
16,Tasiilaq,GL,65.6145,-37.6368,42.96,94,72,7.87,broken clouds
17,Puerto Escondido,MX,15.85,-97.0667,79.63,73,75,5.75,broken clouds
18,Haines Junction,CA,60.7522,-137.5108,55.35,71,100,6.91,overcast clouds
19,Kodiak,US,57.79,-152.4072,63.91,52,0,11.5,clear sky
20,Zakharovo,RU,54.366,39.2792,69.03,71,45,6.2,scattered clouds
21,Tabou,CI,4.423,-7.3528,75.13,77,91,10.94,overcast clouds
22,Gambela,ET,8.25,34.5833,69.33,93,100,1.07,overcast clouds
23,Bethel,US,41.3712,-73.414,79.03,66,0,6.91,clear sky
24,Clyde River,CA,70.4692,-68.5914,39.43,93,100,8.05,overcast clouds
25,Hilo,US,19.7297,-155.09,89.28,74,75,11.5,broken clouds
26,Thompson,CA,55.7435,-97.8558,59.16,88,75,3.44,broken clouds
27,Severo-Kurilsk,RU,50.6789,156.125,55.2,86,76,5.7,broken clouds
28,Lucapa,AO,-8.4192,20.7447,65.84,34,100,4.07,overcast clouds
29,Dikson,RU,73.5069,80.5464,41.16,95,83,11.99,broken clouds
30,Port Alfred,ZA,-33.5906,26.891,62.92,79,95,12.39,overcast clouds
31,Souillac,MU,-20.5167,57.5167,68.38,88,40,5.75,scattered clouds
32,Axim,GH,4.8699,-2.2405,75.97,84,100,11.23,overcast clouds
33,Progreso,MX,21.2833,-89.6667,75.31,74,44,14.97,scattered clouds
34,Mahebourg,MU,-20.4081,57.7,68.29,88,40,5.75,scattered clouds
35,Bluff,NZ,-46.6,168.3333,47.8,87,100,12.53,overcast clouds
36,Itoman,JP,26.1247,127.6694,86.4,79,40,8.05,scattered clouds
37,East London,ZA,-33.0153,27.9116,64.04,75,93,6.64,overcast clouds
38,Anadyr,RU,64.75,177.4833,52.3,81,75,15.66,broken clouds
39,Bougouni,ML,11.417,-7.479,72.7,93,64,7.23,broken clouds
40,Mahon,ES,39.8885,4.2658,75.76,73,0,0.0,clear sky
41,Nikolsk,RU,53.7189,46.0712,60.57,92,6,4.34,clear sky
42,College,US,64.8569,-147.8028,61.0,61,75,16.11,broken clouds
43,Springdale,US,36.1867,-94.1288,84.51,82,100,15.01,thunderstorm with rain
