City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,66.87,90,100,4.9,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,39.36,94,100,4.05,overcast clouds
2,Kununurra,AU,-15.7667,128.7333,78.78,27,1,13.8,clear sky
3,Campos Belos,BR,-13.0367,-46.7717,70.56,36,5,6.24,clear sky
4,Tubmanburg,LR,6.8708,-10.8172,72.1,93,99,2.21,overcast clouds
5,Hithadhoo,MV,-0.6,73.0833,75.76,93,100,13.35,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,25.65,90,69,5.26,broken clouds
7,Belaya Gora,RU,68.5333,146.4167,61.25,37,15,12.62,few clouds
8,Junagarh,IN,19.8667,82.9333,81.46,79,99,3.6,overcast clouds
9,Albany,US,42.6001,-73.9662,64.89,84,0,4.18,clear sky
10,Saldanha,ZA,-33.0117,17.9442,52.25,88,0,7.4,clear sky
11,Atuona,PF,-9.8,-139.0333,77.13,76,15,16.33,few clouds
12,Ponta Do Sol,PT,32.6667,-17.1,77.63,59,1,6.15,clear sky
13,Agadir,MA,30.4202,-9.5982,77.45,43,0,2.28,clear sky
14,Cape Town,ZA,-33.9258,18.4232,52.12,92,20,2.3,mist
15,Bensonville,LR,6.4461,-10.6125,73.54,88,99,3.56,overcast clouds
16,Ilinskiy,RU,55.619,38.1182,65.91,94,13,0.0,mist
17,Lerwick,GB,60.1545,-1.1494,53.6,89,23,6.62,few clouds
18,Kismayo,SO,-0.3582,42.5454,75.24,74,50,16.51,scattered clouds
19,Hobart,AU,-42.8794,147.3294,55.26,66,75,10.36,broken clouds
20,Newport,GB,51.5877,-2.9984,57.45,75,2,8.9,clear sky
21,Vaini,TO,-21.2,-175.2,74.05,72,100,12.62,overcast clouds
22,Esperance,AU,-33.8667,121.9,57.04,74,100,3.69,overcast clouds
23,Berberati,CF,4.2612,15.7922,68.77,93,98,3.36,overcast clouds
24,Sitka,US,57.0531,-135.33,62.49,77,100,9.22,overcast clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,54.09,98,100,5.75,fog
26,New Norfolk,AU,-42.7826,147.0587,54.91,72,94,3.0,overcast clouds
27,Kaitangata,NZ,-46.2817,169.8464,45.72,97,100,9.26,overcast clouds
28,Butaritari,KI,3.0707,172.7902,82.08,75,6,18.75,clear sky
29,Norman Wells,CA,65.282,-126.8329,57.24,94,75,12.66,light intensity shower rain
30,Busselton,AU,-33.65,115.3333,55.35,73,100,8.37,overcast clouds
31,Yellowknife,CA,62.456,-114.3525,68.56,52,6,8.01,clear sky
32,Lashio,MM,22.9333,97.75,74.35,85,100,0.58,overcast clouds
33,Deputatskiy,RU,69.3,139.9,59.34,50,61,11.88,broken clouds
34,Kodiak,US,57.79,-152.4072,51.6,72,100,5.93,overcast clouds
35,Aksay,RU,47.26,39.87,61.25,77,34,5.01,scattered clouds
36,Valkeala,FI,60.9401,26.7979,61.2,100,75,6.91,broken clouds
37,Barrow,US,71.2906,-156.7887,35.62,93,100,12.66,moderate rain
38,Itarema,BR,-2.9248,-39.9167,77.74,76,82,13.11,broken clouds
39,Cidreira,BR,-30.1811,-50.2056,61.34,93,14,14.61,few clouds
40,Provideniya,RU,64.3833,-173.3,50.36,66,0,15.99,clear sky
41,Hermanus,ZA,-34.4187,19.2345,54.43,85,46,1.79,scattered clouds
42,Margate,GB,51.3813,1.3862,61.3,77,100,1.01,overcast clouds
43,Longyearbyen,SJ,78.2186,15.6401,48.04,76,75,3.44,broken clouds
44,Lumeje,AO,-11.55,20.7833,53.92,44,15,5.95,few clouds
45,Sao Filipe,CV,14.8961,-24.4956,77.04,86,45,3.33,scattered clouds
46,Rikitea,PF,-23.1203,-134.9692,74.73,74,78,8.55,light rain
47,Acapulco,MX,16.8634,-99.8901,79.74,83,88,2.04,overcast clouds
48,Mahebourg,MU,-20.4081,57.7,67.24,76,17,11.3,few clouds
49,Saskylakh,RU,71.9167,114.0833,77.2,53,36,10.92,scattered clouds
50,Laguna,US,38.421,-121.4238,95.45,38,0,12.66,clear sky
51,Qaanaaq,GL,77.484,-69.3632,39.54,71,40,0.81,scattered clouds
52,Upernavik,GL,72.7868,-56.1549,37.92,88,96,8.48,overcast clouds
53,Calvinia,ZA,-31.4707,19.776,44.28,95,14,3.85,few clouds
54,Bambous Virieux,MU,-20.3428,57.7575,67.21,76,23,10.96,few clouds
55,Rio Gallegos,AR,-51.6226,-69.2181,17.65,93,0,3.44,clear sky
56,Srednekolymsk,RU,67.45,153.6833,57.56,40,37,14.65,scattered clouds
57,Nakamura,JP,32.9833,132.9333,86.31,66,66,6.87,broken clouds
58,Touros,BR,-5.1989,-35.4608,73.94,86,1,10.18,clear sky
59,Saint-Joseph,RE,-21.3667,55.6167,64.78,80,25,10.04,light rain
60,Iquitos,PE,-3.7481,-73.2472,72.07,98,100,1.5,heavy intensity rain
61,Victoria,HK,22.2855,114.1577,91.26,67,11,8.01,few clouds
62,Dikson,RU,73.5069,80.5464,43.34,98,100,23.15,moderate rain
63,Husavik,IS,66.0449,-17.3389,52.12,81,100,6.38,overcast clouds
64,Hilo,US,19.7297,-155.09,87.28,94,56,8.84,broken clouds
65,Sutton Coldfield,GB,52.5667,-1.8167,52.9,86,0,5.01,clear sky
66,Bluff,NZ,-46.6,168.3333,47.8,91,100,20.31,light rain
67,Bengkulu,ID,-3.8004,102.2655,80.17,75,78,2.17,broken clouds
68,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,100,4.0,overcast clouds
69,Mehamn,NO,71.0357,27.8492,57.11,100,75,1.14,broken clouds
70,La Mana,EC,-0.9333,-79.2167,72.55,90,100,2.48,moderate rain
71,La Roche-Sur-Yon,FR,46.6667,-1.4333,55.67,76,0,6.91,clear sky
72,Narasannapeta,IN,18.4167,84.05,82.47,78,97,2.35,overcast clouds
73,Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,53,0,13.8,clear sky
74,Namibe,AO,-15.1961,12.1522,61.97,80,1,2.28,clear sky
75,Mataura,NZ,-46.1927,168.8643,47.48,96,100,5.41,overcast clouds
76,Bathsheba,BB,13.2167,-59.5167,80.06,86,3,13.71,clear sky
77,Kapaa,US,22.0752,-159.319,85.98,74,22,3.0,few clouds
78,Nanortalik,GL,60.1432,-45.2371,43.39,92,62,1.63,broken clouds
79,Salekhard,RU,66.53,66.6019,52.66,78,100,12.21,overcast clouds
80,Coquimbo,CL,-29.9533,-71.3436,53.33,100,0,3.44,clear sky
81,Bayeux,BR,-7.125,-34.9322,71.44,91,35,6.2,scattered clouds
82,Fairbanks,US,64.8378,-147.7164,60.03,62,93,5.99,overcast clouds
83,Punta Arenas,CL,-53.15,-70.9167,32.11,76,82,7.94,broken clouds
84,Vanimo,PG,-2.6741,141.3028,85.57,65,82,7.16,broken clouds
85,Banda Aceh,ID,5.5577,95.3222,81.19,76,100,5.59,overcast clouds
86,Batman,TR,37.8874,41.1322,62.4,72,0,4.61,clear sky
87,Chuy,UY,-33.6971,-53.4616,58.28,96,24,4.76,few clouds
88,Hami,CN,42.8,93.45,87.58,11,0,7.9,clear sky
89,Clyde River,CA,70.4692,-68.5914,39.43,100,100,4.61,overcast clouds
90,Pevek,RU,69.7008,170.3133,34.88,86,100,12.28,overcast clouds
91,Rebrikha,RU,53.0733,82.3408,70.0,51,44,6.6,scattered clouds
